SecurityID,rUpDown,Date,winRate,tradeCount,winLim,winCount,perWin,lossLim,lossCount,perLoss,dayLim,OverCount,perOver,cDownLim,cDownCount,percDown
300390,rU2D2,20220321,3.732,74,0.05,58,78.4,-2.0,0,0.0,10,15,20.3,-2,0,0.0
300390,rU2D12,20220321,3.618,99,0.05,64,64.6,-2.0,0,0.0,5,18,18.2,-1,16,16.2
300390,rU2D11,20220321,3.524,103,0.05,66,64.1,-2.0,0,0.0,5,18,17.5,-1,18,17.5
300390,rU2D9,20220321,3.486,105,0.05,65,61.9,-2.0,0,0.0,5,17,16.2,-1,22,21.0
300390,rU2D13,20220321,3.205,99,0.05,63,63.6,-2.0,0,0.0,5,18,18.2,-1,17,17.2
300390,rU2D9,20220321,3.189,104,0.05,68,65.4,-2.0,0,0.0,10,4,3.8,-1,31,29.8
300390,rU2D14,20220321,3.15,95,0.05,60,63.2,-2.0,0,0.0,5,20,21.1,-1,14,14.7
300390,rU2D15,20220321,3.002,96,0.05,60,62.5,-2.0,0,0.0,5,19,19.8,-1,16,16.7
300390,rU3D2,20220321,2.935,66,0.05,53,80.3,-2.0,0,0.0,10,12,18.2,-2,0,0.0
300390,rU2D8,20220321,2.905,106,0.05,65,61.3,-2.0,0,0.0,5,15,14.2,-1,25,23.6
300390,rU2D10,20220321,2.869,102,0.05,63,61.8,-2.0,0,0.0,5,17,16.7,-1,21,20.6
300390,rU2D14,20220321,2.854,93,0.05,64,68.8,-2.0,0,0.0,10,9,9.7,-1,19,20.4
300390,rU2D16,20220321,2.85,94,0.05,64,68.1,-2.0,0,0.0,10,10,10.6,-1,19,20.2
300390,rU2D12,20220321,2.844,97,0.05,66,68.0,-2.0,0,0.0,10,9,9.3,-1,21,21.6
300390,rU2D7,20220321,2.792,109,0.05,66,60.6,-2.0,0,0.0,5,15,13.8,-1,27,24.8
300390,rU2D2,20220321,2.781,141,0.05,66,46.8,-0.03,50,35.5,5,0,0.0,-1,24,17.0
300390,rU2D2,20220321,2.781,141,0.05,66,46.8,-0.03,50,35.5,7,0,0.0,-1,24,17.0
300390,rU2D2,20220321,2.781,141,0.05,66,46.8,-0.03,50,35.5,10,0,0.0,-1,24,17.0
300390,rU3D12,20220321,2.772,84,0.05,55,65.5,-2.0,0,0.0,5,11,13.1,-1,17,20.2
300390,rU2D16,20220321,2.766,96,0.05,59,61.5,-2.0,0,0.0,5,20,20.8,-1,16,16.7
300390,rU2D15,20220321,2.694,94,0.05,64,68.1,-2.0,0,0.0,10,10,10.6,-1,19,20.2
300390,rU2D20,20220321,2.691,90,0.05,62,68.9,-2.0,0,0.0,10,9,10.0,-1,18,20.0
300390,rU2D3,20220321,2.69,125,0.05,62,49.6,-0.03,49,39.2,10,0,0.0,-1,13,10.4
300390,rU2D3,20220321,2.69,125,0.05,62,49.6,-0.03,49,39.2,7,0,0.0,-1,13,10.4
300390,rU2D13,20220321,2.675,97,0.05,65,67.0,-2.0,0,0.0,10,9,9.3,-1,22,22.7
300390,rU2D2,20220321,2.675,141,0.05,64,45.4,-0.03,50,35.5,3,3,2.1,-1,23,16.3
300390,rU3D11,20220321,2.673,89,0.05,56,62.9,-2.0,0,0.0,5,10,11.2,-1,22,24.7
300390,rU3D9,20220321,2.671,89,0.05,58,65.2,-2.0,0,0.0,10,3,3.4,-1,27,30.3
300390,rU3D11,20220321,2.597,89,0.05,58,65.2,-2.0,0,0.0,7,6,6.7,-1,24,27.0
300390,rU2D3,20220321,2.591,125,0.05,61,48.8,-0.03,49,39.2,5,1,0.8,-1,13,10.4
300390,rU2D17,20220321,2.563,96,0.05,59,61.5,-2.0,0,0.0,5,21,21.9,-1,15,15.6
300390,rU3D11,20220321,2.555,89,0.05,58,65.2,-2.0,0,0.0,10,4,4.5,-1,26,29.2
300390,rU2D8,20220321,2.551,105,0.05,68,64.8,-2.0,0,0.0,10,4,3.8,-1,32,30.5
300390,rU2D17,20220321,2.544,94,0.05,64,68.1,-2.0,0,0.0,10,10,10.6,-1,19,20.2
300390,rU2D2,20220321,2.523,75,0.05,47,62.7,-2.0,0,0.0,5,27,36.0,-2,0,0.0
300390,rU2D6,20220321,2.508,109,0.05,64,58.7,-2.0,0,0.0,5,15,13.8,-1,29,26.6
300390,rU2D11,20220321,2.485,104,0.05,54,51.9,-0.03,45,43.3,5,1,1.0,-1,3,2.9
300390,rU2D16,20220321,2.481,96,0.05,50,52.1,-0.03,41,42.7,10,1,1.0,-1,3,3.1
300390,rU2D9,20220321,2.472,105,0.05,66,62.9,-2.0,0,0.0,7,9,8.6,-1,29,27.6
300390,rU2D17,20220321,2.46,97,0.05,51,52.6,-0.03,42,43.3,10,1,1.0,-1,2,2.1
300390,rU3D13,20220321,2.443,84,0.05,54,64.3,-2.0,0,0.0,5,11,13.1,-1,18,21.4
300390,rU2D11,20220321,2.434,102,0.05,66,64.7,-2.0,0,0.0,7,11,10.8,-1,24,23.5
300390,rU2D8,20220321,2.427,107,0.05,55,51.4,-0.03,47,43.9,5,1,0.9,-1,3,2.8
300390,rU3D14,20220321,2.427,82,0.05,53,64.6,-2.0,0,0.0,5,13,15.9,-1,15,18.3
300390,rU2D16,20220321,2.425,96,0.05,50,52.1,-0.03,41,42.7,7,1,1.0,-1,3,3.1
300390,rU2D11,20220321,2.418,104,0.05,54,51.9,-0.03,45,43.3,10,0,0.0,-1,4,3.8
300390,rU2D11,20220321,2.418,104,0.05,54,51.9,-0.03,45,43.3,7,0,0.0,-1,4,3.8
300390,rU3D9,20220321,2.407,89,0.05,57,64.0,-2.0,0,0.0,7,5,5.6,-1,26,29.2
300390,rU2D15,20220321,2.404,95,0.05,62,65.3,-2.0,0,0.0,7,13,13.7,-1,19,20.0
300390,rU2D17,20220321,2.403,97,0.05,51,52.6,-0.03,42,43.3,7,1,1.0,-1,2,2.1
300390,rU2D8,20220321,2.393,107,0.05,55,51.4,-0.03,47,43.9,7,0,0.0,-1,4,3.7
300390,rU2D11,20220321,2.393,101,0.05,67,66.3,-2.0,0,0.0,10,5,5.0,-1,28,27.7
300390,rU2D8,20220321,2.393,107,0.05,55,51.4,-0.03,47,43.9,10,0,0.0,-1,4,3.7
300390,rU2D12,20220321,2.388,100,0.05,52,52.0,-0.03,44,44.0,5,1,1.0,-1,2,2.0
300390,rU2D12,20220321,2.388,100,0.05,52,52.0,-0.03,44,44.0,10,1,1.0,-1,2,2.0
300390,rU2D10,20220321,2.385,102,0.05,65,63.7,-2.0,0,0.0,10,6,5.9,-1,30,29.4
300390,rU2D3,20220321,2.381,125,0.05,59,47.2,-0.03,49,39.2,3,4,3.2,-1,12,9.6
300390,rU3D12,20220321,2.375,84,0.05,57,67.9,-2.0,0,0.0,7,7,8.3,-1,19,22.6
300390,rU2D7,20220321,2.367,108,0.05,68,63.0,-2.0,0,0.0,10,3,2.8,-1,36,33.3
300390,rU2D11,20220321,2.366,106,0.05,51,48.1,-0.03,41,38.7,3,10,9.4,-1,3,2.8
300390,rU2D8,20220321,2.363,109,0.05,52,47.7,-0.03,42,38.5,3,10,9.2,-1,4,3.7
300390,rU2D12,20220321,2.361,98,0.05,64,65.3,-2.0,0,0.0,7,13,13.3,-1,20,20.4
300390,rU2D15,20220321,2.351,96,0.05,50,52.1,-0.03,42,43.8,10,1,1.0,-1,2,2.1
300390,rU3D12,20220321,2.343,84,0.05,57,67.9,-2.0,0,0.0,10,6,7.1,-1,20,23.8
300390,rU2D12,20220321,2.334,100,0.05,52,52.0,-0.03,44,44.0,7,1,1.0,-1,2,2.0
300390,rU2D16,20220321,2.32,95,0.05,61,64.2,-2.0,0,0.0,7,14,14.7,-1,19,20.0
300390,rU2D9,20220321,2.316,106,0.05,54,50.9,-0.03,47,44.3,5,1,0.9,-1,3,2.8
